Name,WHO_Region,Cases_cumulative_total,Cases_newly_reported_in_last_7_days,Cases_newly_reported_in_last_24_hours,Deaths_cumulative_total,Deaths_newly_reported_in_last_7_days,Deaths_newly_reported_in_last_24_hours
Belarus,Europe,994052.0,0.0,0.0,7118.0,0.0,0.0
China,Western Pacific,99381761.0,0.0,0.0,122398.0,0.0,0.0
French Guiana,Unknown,98041.0,0.0,0.0,413.0,0.0,0.0
Latvia,Europe,977783.0,0.0,0.0,7658.0,2.0,2.0
Saint Vincent and the Grenadines,Americas,9674.0,0.0,0.0,124.0,0.0,0.0
Guinea-Bissau,Africa,9614.0,0.0,0.0,177.0,0.0,0.0
Niger,Africa,9573.0,0.0,0.0,315.0,0.0,0.0
Comoros,Africa,9109.0,0.0,0.0,160.0,0.0,0.0
Antigua and Barbuda,Americas,9106.0,0.0,0.0,146.0,0.0,0.0
Senegal,Africa,89426.0,0.0,0.0,1972.0,0.0,0.0
Malawi,Africa,89168.0,0.0,0.0,2686.0,0.0,0.0
Kyrgyzstan,Europe,88953.0,0.0,0.0,1024.0,0.0,0.0
C�te d'Ivoire,Africa,88524.0,0.0,0.0,835.0,0.0,0.0
Netherlands (Kingdom of the),Europe,8654060.0,363.0,363.0,22986.0,0.0,0.0
Saudi Arabia,Eastern Mediterranean,841469.0,0.0,0.0,9646.0,0.0,0.0
Azerbaijan,Europe,836510.0,0.0,0.0,10353.0,0.0,0.0
American Samoa,Western Pacific,8359.0,0.0,0.0,34.0,0.0,0.0
Suriname,Americas,82516.0,0.0,0.0,1406.0,0.0,0.0
New Caledonia,Western Pacific,80203.0,0.0,0.0,314.0,0.0,0.0
Tokelau,Western Pacific,80.0,0.0,0.0,0.0,0.0,0.0
Sierra Leone,Africa,7985.0,0.0,0.0,125.0,0.0,0.0
French Polynesia,Western Pacific,79451.0,0.0,0.0,650.0,0.0,0.0
Liberia,Africa,7932.0,0.0,0.0,294.0,0.0,0.0
Chad,Africa,7702.0,0.0,0.0,194.0,0.0,0.0
British Virgin Islands,Americas,7661.0,0.0,0.0,64.0,0.0,0.0
Mexico,Americas,7629419.0,19.0,19.0,335067.0,0.0,0.0
Iran (Islamic Republic of),Eastern Mediterranean,7627863.0,0.0,0.0,146837.0,0.0,0.0
Guyana,Americas,75516.0,1.0,1.0,1312.0,0.0,0.0
Eswatini,Africa,75356.0,0.0,0.0,1427.0,0.0,0.0
Cook Islands,Western Pacific,7375.0,0.0,0.0,2.0,0.0,0.0
Paraguay,Americas,735759.0,0.0,0.0,19880.0,0.0,0.0
Cyprus,Europe,716720.0,0.0,0.0,1364.0,0.0,0.0
Belize,Americas,71491.0,0.0,0.0,688.0,0.0,0.0
International conveyance (Diamond Princess),Other,712.0,0.0,0.0,13.0,0.0,0.0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228.0,0.0,0.0,5708.0,0.0,0.0
Global,Unknown,778856340.0,30309.0,30309.0,7103185.0,74.0,74.0
Bahrain,Eastern Mediterranean,696614.0,0.0,0.0,1536.0,0.0,0.0
Turks and Caicos Islands,Americas,6926.0,0.0,0.0,41.0,0.0,0.0
Fiji,Western Pacific,69047.0,0.0,0.0,885.0,0.0,0.0
Madagascar,Africa,68713.0,0.0,0.0,1428.0,0.0,0.0
Indonesia,South-East Asia,6830274.0,0.0,0.0,162059.0,0.0,0.0
Poland,Europe,6817567.0,3678.0,3678.0,120985.0,0.0,0.0
Sao Tome and Principe,Africa,6771.0,0.0,0.0,80.0,0.0,0.0
Sri Lanka,South-East Asia,672812.0,0.0,0.0,16907.0,0.0,0.0
Kuwait,Eastern Mediterranean,667290.0,0.0,0.0,2570.0,0.0,0.0
Jersey,Unknown,66391.0,0.0,0.0,161.0,0.0,0.0
Dominican Republic,Americas,661103.0,0.0,0.0,4384.0,0.0,0.0
Saint Kitts and Nevis,Americas,6607.0,0.0,0.0,46.0,0.0,0.0
Republic of Moldova,Europe,656339.0,32.0,32.0,12290.0,0.0,0.0
Cabo Verde,Africa,64474.0,0.0,0.0,417.0,0.0,0.0
Myanmar,South-East Asia,643401.0,0.0,0.0,19494.0,0.0,0.0
Colombia,Americas,6401657.0,112.0,112.0,142792.0,0.0,0.0
Sudan,Eastern Mediterranean,63993.0,0.0,0.0,5046.0,0.0,0.0
Mauritania,Africa,63891.0,0.0,0.0,997.0,0.0,0.0
Palau,Western Pacific,6372.0,0.0,0.0,10.0,0.0,0.0
Bhutan,South-East Asia,63193.0,0.0,0.0,21.0,0.0,0.0
Estonia,Europe,615560.0,81.0,81.0,3162.0,1.0,1.0
Austria,Europe,6083442.0,44.0,44.0,22534.0,0.0,0.0
Greece,Europe,5823644.0,5469.0,5469.0,40118.0,6.0,6.0
Syrian Arab Republic,Eastern Mediterranean,57423.0,0.0,0.0,3163.0,0.0,0.0
Portugal,Europe,5671586.0,0.0,0.0,29573.0,12.0,12.0
Ukraine,Europe,5553430.0,308.0,308.0,109934.0,1.0,1.0
Venezuela (Bolivarian Republic of),Americas,552743.0,0.0,0.0,5856.0,0.0,0.0
Saint Barth�lemy,Unknown,5507.0,0.0,0.0,5.0,0.0,0.0
Burundi,Africa,54569.0,0.0,0.0,15.0,0.0,0.0
Thailand,South-East Asia,5419906.0,0.0,0.0,34993.0,0.0,0.0
Chile,Americas,5410210.0,5.0,5.0,62877.0,0.0,0.0
Nauru,Western Pacific,5393.0,0.0,0.0,1.0,0.0,0.0
Malaysia,Western Pacific,5329836.0,0.0,0.0,37351.0,0.0,0.0
Guam,Western Pacific,52287.0,0.0,0.0,419.0,0.0,0.0
Seychelles,Africa,51899.0,0.0,0.0,172.0,0.0,0.0
Egypt,Eastern Mediterranean,516023.0,0.0,0.0,24830.0,0.0,0.0
Qatar,Eastern Mediterranean,514524.0,0.0,0.0,690.0,0.0,0.0
Kiribati,Western Pacific,5085.0,0.0,0.0,24.0,0.0,0.0
Libya,Eastern Mediterranean,507269.0,0.0,0.0,6437.0,0.0,0.0
Ethiopia,Africa,501322.0,0.0,0.0,7574.0,0.0,0.0
International conveyance (Solomon Islands),Other,5.0,0.0,0.0,0.0,0.0,0.0
R�union,Unknown,494595.0,0.0,0.0,921.0,0.0,0.0
Gabon,Africa,49069.0,0.0,0.0,307.0,0.0,0.0
Belgium,Europe,4901904.0,414.0,414.0,34339.0,0.0,0.0
Czechia,Europe,4865234.0,3179.0,3179.0,43863.0,8.0,8.0
Israel,Europe,4841558.0,0.0,0.0,12707.0,0.0,0.0
Canada,Americas,4819055.0,0.0,0.0,55282.0,0.0,0.0
Andorra,Europe,48015.0,0.0,0.0,159.0,0.0,0.0
Honduras,Americas,473036.0,0.0,0.0,11114.0,0.0,0.0
Papua New Guinea,Western Pacific,46864.0,0.0,0.0,670.0,0.0,0.0
Cura�ao,Americas,45883.0,0.0,0.0,305.0,0.0,0.0
Armenia,Europe,454833.0,40.0,40.0,8785.0,0.0,0.0
Peru,Americas,4532724.0,0.0,0.0,221060.0,0.0,0.0
India,South-East Asia,45056126.0,0.0,0.0,533847.0,0.0,0.0
Switzerland,Europe,4483684.0,542.0,542.0,14170.0,0.0,0.0
